Dates,Fed Funds Target Rate - Rate Value
Jul-13-1990,8.00
Jul-14-1990,8.00
Jul-15-1990,8.00
Jul-16-1990,8.00
Jul-17-1990,8.00
Jul-18-1990,8.00
Jul-19-1990,8.00
Jul-20-1990,8.00
Jul-21-1990,8.00
Jul-22-1990,8.00
Jul-23-1990,8.00
Jul-24-1990,8.00
Jul-25-1990,8.00
Jul-26-1990,8.00
Jul-27-1990,8.00
Jul-28-1990,8.00
Jul-29-1990,8.00
Jul-30-1990,8.00
Jul-31-1990,8.00
Aug-01-1990,8.00
Aug-02-1990,8.00
Aug-03-1990,8.00
Aug-04-1990,8.00
Aug-05-1990,8.00
Aug-06-1990,8.00
Aug-07-1990,8.00
Aug-08-1990,8.00
Aug-09-1990,8.00
Aug-10-1990,8.00
Aug-11-1990,8.00
Aug-12-1990,8.00
Aug-13-1990,8.00
Aug-14-1990,8.00
Aug-15-1990,8.00
Aug-16-1990,8.00
Aug-17-1990,8.00
Aug-18-1990,8.00
Aug-19-1990,8.00
Aug-20-1990,8.00
Aug-21-1990,8.00
Aug-22-1990,8.00
Aug-23-1990,8.00
Aug-24-1990,8.00
Aug-25-1990,8.00
Aug-26-1990,8.00
Aug-27-1990,8.00
Aug-28-1990,8.00
Aug-29-1990,8.00
Aug-30-1990,8.00
Aug-31-1990,8.00
Sep-01-1990,8.00
Sep-02-1990,8.00
Sep-03-1990,8.00
Sep-04-1990,8.00
Sep-05-1990,8.00
Sep-06-1990,8.00
Sep-07-1990,8.00
Sep-08-1990,8.00
Sep-09-1990,8.00
Sep-10-1990,8.00
Sep-11-1990,8.00
Sep-12-1990,8.00
Sep-13-1990,8.00
Sep-14-1990,8.00
Sep-15-1990,8.00
Sep-16-1990,8.00
Sep-17-1990,8.00
Sep-18-1990,8.00
Sep-19-1990,8.00
Sep-20-1990,8.00
Sep-21-1990,8.00
Sep-22-1990,8.00
Sep-23-1990,8.00
Sep-24-1990,8.00
Sep-25-1990,8.00
Sep-26-1990,8.00
Sep-27-1990,8.00
Sep-28-1990,8.00
Sep-29-1990,8.00
Sep-30-1990,8.00
Oct-01-1990,8.00
Oct-02-1990,8.00
Oct-03-1990,8.00
Oct-04-1990,8.00
Oct-05-1990,8.00
Oct-06-1990,8.00
Oct-07-1990,8.00
Oct-08-1990,8.00
Oct-09-1990,8.00
Oct-10-1990,8.00
Oct-11-1990,8.00
Oct-12-1990,8.00
Oct-13-1990,8.00
Oct-14-1990,8.00
Oct-15-1990,8.00
Oct-16-1990,8.00
Oct-17-1990,8.00
Oct-18-1990,8.00
Oct-19-1990,8.00
Oct-20-1990,8.00
Oct-21-1990,8.00
Oct-22-1990,8.00
Oct-23-1990,8.00
Oct-24-1990,8.00
Oct-25-1990,8.00
Oct-26-1990,8.00
Oct-27-1990,8.00
Oct-28-1990,8.00
Oct-29-1990,7.75
Oct-30-1990,7.75
Oct-31-1990,7.75
Nov-01-1990,7.75
Nov-02-1990,7.75
Nov-03-1990,7.75
Nov-04-1990,7.75
Nov-05-1990,7.75
Nov-06-1990,7.75
Nov-07-1990,7.75
Nov-08-1990,7.75
Nov-09-1990,7.75
Nov-10-1990,7.75
Nov-11-1990,7.75
Nov-12-1990,7.75
Nov-13-1990,7.50
Nov-14-1990,7.50
Nov-15-1990,7.50
Nov-16-1990,7.50
Nov-17-1990,7.50
Nov-18-1990,7.50
Nov-19-1990,7.50
Nov-20-1990,7.50
Nov-21-1990,7.50
Nov-22-1990,7.50
Nov-23-1990,7.50
Nov-24-1990,7.50
Nov-25-1990,7.50
Nov-26-1990,7.50
Nov-27-1990,7.50
Nov-28-1990,7.50
Nov-29-1990,7.50
Nov-30-1990,7.50
Dec-01-1990,7.50
Dec-02-1990,7.50
Dec-03-1990,7.50
Dec-04-1990,7.50
Dec-05-1990,7.50
Dec-06-1990,7.50
Dec-07-1990,7.25
Dec-08-1990,7.25
Dec-09-1990,7.25
Dec-10-1990,7.25
Dec-11-1990,7.25
Dec-12-1990,7.25
Dec-13-1990,7.25
Dec-14-1990,7.25
Dec-15-1990,7.25
Dec-16-1990,7.25
Dec-17-1990,7.25
Dec-18-1990,7.00
Dec-19-1990,7.00
Dec-20-1990,7.00
Dec-21-1990,7.00
Dec-22-1990,7.00
Dec-23-1990,7.00
Dec-24-1990,7.00
Dec-25-1990,7.00
Dec-26-1990,7.00
Dec-27-1990,7.00
Dec-28-1990,7.00
Dec-29-1990,7.00
Dec-30-1990,7.00
Dec-31-1990,7.00
Jan-01-1991,7.00
Jan-02-1991,7.00
Jan-03-1991,7.00
Jan-04-1991,7.00
Jan-05-1991,7.00
Jan-06-1991,7.00
Jan-07-1991,7.00
Jan-08-1991,7.00
Jan-09-1991,6.75
Jan-10-1991,6.75
Jan-11-1991,6.75
Jan-12-1991,6.75
Jan-13-1991,6.75
Jan-14-1991,6.75
Jan-15-1991,6.75
Jan-16-1991,6.75
Jan-17-1991,6.75
Jan-18-1991,6.75
Jan-19-1991,6.75
Jan-20-1991,6.75
Jan-21-1991,6.75
Jan-22-1991,6.75
Jan-23-1991,6.75
Jan-24-1991,6.75
Jan-25-1991,6.75
Jan-26-1991,6.75
Jan-27-1991,6.75
Jan-28-1991,6.75
Jan-29-1991,6.75
Jan-30-1991,6.75
Jan-31-1991,6.75
Feb-01-1991,6.25
Feb-02-1991,6.25
Feb-03-1991,6.25
Feb-04-1991,6.25
Feb-05-1991,6.25
Feb-06-1991,6.25
Feb-07-1991,6.25
