Date,Value
12-06-2024,80.73
12-05-2024,80.53
12-04-2024,80.7
12-03-2024,81.64
12-02-2024,82.92
11-29-2024,83.17
11-27-2024,83.15
11-26-2024,81.83
11-25-2024,82.1
11-22-2024,82.15
11-21-2024,80.61
11-20-2024,80.6
11-19-2024,79.64
11-18-2024,79.18
11-15-2024,78.14
11-14-2024,78.45
11-13-2024,79.0
11-12-2024,79.16
11-11-2024,79.19
11-08-2024,78.08
11-07-2024,77.94
11-06-2024,77.35
11-05-2024,77.16
11-04-2024,77.35
11-01-2024,79.9
10-31-2024,79.29
10-30-2024,79.59
10-29-2024,80.11
10-28-2024,80.81
10-25-2024,82.0
10-24-2024,82.13
10-23-2024,81.4
10-22-2024,81.08
10-21-2024,82.14
10-18-2024,81.41
10-17-2024,82.48
10-16-2024,81.01
10-15-2024,80.6
10-14-2024,79.37
10-11-2024,78.3
10-10-2024,78.88
10-09-2024,79.26
10-08-2024,79.79
10-07-2024,81.04
10-04-2024,80.74
10-03-2024,81.92
10-02-2024,80.91
10-01-2024,80.69
09-30-2024,80.58
09-27-2024,79.96
09-26-2024,80.03
09-25-2024,80.2
09-24-2024,79.88
09-23-2024,80.03
09-20-2024,79.0
09-19-2024,78.2
09-18-2024,78.94
09-17-2024,79.18
09-16-2024,78.79
09-13-2024,77.71
09-12-2024,77.45
09-11-2024,77.05
09-10-2024,76.82
09-09-2024,76.24
09-06-2024,76.81
09-05-2024,77.41
09-04-2024,76.55
09-03-2024,76.31
08-30-2024,75.86
08-29-2024,75.56
08-28-2024,75.54
08-27-2024,75.75
08-26-2024,75.68
08-23-2024,75.47
08-22-2024,75.38
08-21-2024,74.88
08-20-2024,74.93
08-19-2024,74.51
08-16-2024,74.19
08-15-2024,73.69
08-14-2024,74.0
08-13-2024,74.05
08-12-2024,73.63
08-09-2024,73.54
08-08-2024,73.0
08-07-2024,73.47
08-06-2024,72.54
08-05-2024,74.61
08-02-2024,75.04
08-01-2024,72.93
07-31-2024,72.87
07-30-2024,71.41
07-29-2024,71.44
07-26-2024,71.04
07-25-2024,71.4
07-24-2024,70.78
07-23-2024,70.58
07-22-2024,70.5
07-19-2024,70.18
07-18-2024,70.02
07-17-2024,70.0
07-16-2024,69.95
07-15-2024,70.46
07-12-2024,70.99
07-11-2024,69.82
07-10-2024,69.08
07-09-2024,68.62
07-08-2024,68.61
07-05-2024,68.54
07-03-2024,68.12
07-02-2024,67.83
07-01-2024,68.85
06-28-2024,68.91
06-27-2024,68.85
06-26-2024,68.82
06-25-2024,69.6
06-24-2024,68.82
06-21-2024,70.06
06-20-2024,69.42
06-18-2024,68.61
06-17-2024,69.57
06-14-2024,69.7
06-13-2024,70.06
06-12-2024,71.3
06-11-2024,70.24
06-10-2024,69.93
06-07-2024,70.1
06-06-2024,71.29
06-05-2024,71.78
06-04-2024,71.71
06-03-2024,72.6
05-31-2024,71.7
05-30-2024,70.74
05-29-2024,70.81
05-28-2024,71.57
05-24-2024,70.97
05-23-2024,71.9
05-22-2024,72.47
05-21-2024,72.18
05-20-2024,72.5
05-17-2024,72.19
05-16-2024,72.57
05-15-2024,72.2
05-14-2024,71.58
05-13-2024,71.51
05-10-2024,71.74
05-09-2024,70.22
05-08-2024,69.39
05-07-2024,69.05
05-06-2024,68.62
05-03-2024,68.4
05-02-2024,67.79
05-01-2024,66.73
04-30-2024,66.72
04-29-2024,66.65
04-26-2024,66.92
04-25-2024,66.58
04-24-2024,65.74
04-23-2024,66.0
04-22-2024,65.47
04-19-2024,64.61
04-18-2024,64.3
04-17-2024,63.18
04-16-2024,63.41
04-15-2024,64.64
04-12-2024,64.81
04-11-2024,65.19
04-10-2024,64.63
04-09-2024,65.73
04-08-2024,65.17
04-05-2024,64.55
04-04-2024,65.61
04-03-2024,65.35
04-02-2024,65.1
04-01-2024,65.66
03-28-2024,65.19
03-27-2024,63.9
03-26-2024,64.23
03-25-2024,64.04
03-22-2024,64.17
03-21-2024,64.04
03-20-2024,63.68
03-19-2024,63.38
03-18-2024,63.02
03-15-2024,63.17
03-14-2024,63.74
03-13-2024,63.95
03-12-2024,63.94
03-11-2024,63.66
03-08-2024,63.77
03-07-2024,63.7
03-06-2024,63.03
03-05-2024,62.95
03-04-2024,61.43
03-01-2024,61.91
02-29-2024,62.32
02-28-2024,61.82
02-27-2024,61.1
02-26-2024,61.66
02-23-2024,61.65
02-22-2024,61.51
02-21-2024,61.59
02-20-2024,61.12
02-16-2024,61.0
02-15-2024,60.48
02-14-2024,60.18
02-13-2024,60.63
02-12-2024,60.27
02-09-2024,59.87
02-08-2024,60.2
02-07-2024,60.67
02-06-2024,60.18
02-05-2024,60.89
02-02-2024,61.91
02-01-2024,61.19
01-31-2024,62.09
01-30-2024,61.45
01-29-2024,61.25
01-26-2024,61.19
01-25-2024,60.75
01-24-2024,61.2
01-23-2024,60.69
01-22-2024,60.96
01-19-2024,61.12
01-18-2024,61.41
01-17-2024,62.27
01-16-2024,63.01
01-12-2024,63.38
01-11-2024,64.25
01-10-2024,64.47
01-09-2024,64.66
01-08-2024,64.39
01-05-2024,64.2
01-04-2024,64.56
01-03-2024,64.23
01-02-2024,63.06
12-29-2023,63.27
12-28-2023,62.76
12-27-2023,62.88
12-26-2023,62.52
12-22-2023,62.64
12-21-2023,62.51
12-20-2023,63.51
12-19-2023,63.45
12-18-2023,63.55
12-15-2023,64.45
12-14-2023,66.36
12-13-2023,63.63
12-12-2023,63.91
12-11-2023,63.08
12-08-2023,63.43
12-07-2023,63.76
12-06-2023,63.11
12-05-2023,63.34
12-04-2023,63.23
12-01-2023,62.79
